,Unnamed: 0,face,confidence,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,X_16,X_17,X_18,X_19,X_20,X_21,X_22,X_23,X_24,X_25,X_26,X_27,X_28,X_29,X_30,X_31,X_32,X_33,X_34,X_35,X_36,X_37,X_38,X_39,X_40,X_41,X_42,X_43,X_44,X_45,X_46,X_47,X_48,X_49,X_50,X_51,X_52,X_53,X_54,X_55,X_56,X_57,X_58,X_59,X_60,X_61,X_62,X_63,X_64,X_65,X_66,X_67,Y_0,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_27,Y_28,Y_29,Y_30,Y_31,Y_32,Y_33,Y_34,Y_35,Y_36,Y_37,Y_38,Y_39,Y_40,Y_41,Y_42,Y_43,Y_44,Y_45,Y_46,Y_47,Y_48,Y_49,Y_50,Y_51,Y_52,Y_53,Y_54,Y_55,Y_56,Y_57,Y_58,Y_59,Y_60,Y_61,Y_62,Y_63,Y_64,Y_65,Y_66,Y_67,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32,Z_33,Z_34,Z_35,Z_36,Z_37,Z_38,Z_39,Z_40,Z_41,Z_42,Z_43,Z_44,Z_45,Z_46,Z_47,Z_48,Z_49,Z_50,Z_51,Z_52,Z_53,Z_54,Z_55,Z_56,Z_57,Z_58,Z_59,Z_60,Z_61,Z_62,Z_63,Z_64,Z_65,Z_66,Z_67
0,0,0,0.975,56.3,-243.6,1095.0,0.018,0.217,0.062,-4.8,-6.5,-6.0,-3.7,1.3,10.7,23.1,37.4,54.8,73.2,91.8,109.6,123.9,132.6,137.1,140.9,144.2,2.4,9.4,19.7,30.9,41.2,70.4,83.8,97.0,109.3,118.7,54.8,53.1,51.3,49.4,38.2,45.1,51.5,58.6,65.6,13.7,20.9,29.6,37.6,29.3,20.6,76.2,85.1,94.6,103.4,94.7,85.2,29.0,36.0,44.0,49.8,56.1,66.7,78.9,66.7,56.6,49.6,43.4,35.8,33.1,44.1,50.1,56.4,73.5,56.6,50.1,44.1,-286.3,-267.3,-248.1,-228.6,-210.3,-194.4,-182.7,-173.5,-169.6,-170.1,-174.4,-180.5,-191.3,-207.5,-227.4,-248.1,-268.5,-300.4,-310.0,-313.1,-310.8,-305.6,-304.3,-307.7,-308.1,-304.6,-295.9,-281.5,-271.1,-261.2,-250.9,-240.0,-237.7,-235.9,-237.3,-238.7,-279.2,-281.9,-281.6,-277.3,-275.3,-275.5,-275.2,-278.6,-277.7,-274.4,-271.8,-272.1,-214.2,-221.2,-224.8,-222.8,-224.2,-219.5,-212.3,-206.5,-204.4,-204.1,-204.7,-207.0,-214.5,-216.8,-216.2,-216.4,-212.9,-214.0,-213.8,-214.3,1158.2,1154.1,1151.8,1148.2,1141.1,1127.4,1107.9,1088.9,1082.3,1086.5,1098.4,1110.0,1116.8,1119.9,1121.8,1125.1,1129.9,1127.2,1123.2,1114.8,1105.5,1096.7,1087.1,1091.0,1094.8,1097.5,1099.0,1088.4,1080.3,1071.8,1063.3,1077.6,1074.8,1070.8,1071.0,1071.7,1115.5,1109.4,1106.0,1102.0,1104.2,1107.6,1093.3,1093.6,1093.5,1095.0,1091.3,1091.3,1083.9,1070.5,1064.9,1062.8,1062.4,1065.9,1076.1,1064.1,1058.6,1059.0,1060.6,1068.5,1080.6,1065.8,1063.9,1063.0,1073.1,1062.8,1063.3,1065.4
1,0,0,0.975,59.9,-240.6,1099.7,0.048,0.225,0.053,-1.8,-3.3,-2.7,-0.4,4.8,14.4,26.8,41.1,58.7,77.5,96.6,114.4,128.2,136.1,139.9,143.3,146.3,5.4,13.0,23.0,33.6,43.6,74.6,87.8,100.3,112.0,121.3,58.4,56.7,55.0,53.2,41.4,48.5,55.2,62.6,69.9,16.8,24.0,32.8,40.8,32.3,23.7,79.7,88.5,97.9,106.6,98.0,88.7,30.7,38.1,46.8,53.5,60.9,72.4,85.2,72.4,61.1,53.0,46.0,37.8,34.9,47.1,53.8,61.3,79.8,61.3,53.7,46.9,-285.0,-265.5,-245.7,-225.8,-207.1,-190.7,-178.6,-169.4,-165.8,-166.8,-171.9,-178.9,-190.4,-206.8,-226.4,-246.7,-266.5,-298.7,-307.0,-309.4,-307.0,-302.0,-300.2,-303.4,-303.9,-301.1,-293.4,-278.0,-267.4,-257.2,-246.5,-236.3,-233.9,-231.9,-233.5,-235.1,-276.6,-279.2,-278.7,-274.4,-272.6,-273.0,-272.1,-275.5,-274.7,-271.5,-269.0,-269.3,-211.3,-218.2,-221.5,-219.5,-220.9,-216.6,-209.5,-202.9,-200.3,-199.8,-200.4,-203.2,-211.3,-213.5,-212.8,-213.1,-209.8,-209.9,-209.6,-210.2,1161.2,1157.6,1155.9,1152.7,1145.9,1132.3,1113.1,1093.6,1086.4,1090.4,1102.5,1114.1,1120.1,1122.0,1122.4,1125.3,1130.2,1127.7,1123.4,1115.7,1107.2,1099.0,1089.7,1093.6,1096.9,1099.3,1100.4,1091.0,1083.5,1075.5,1067.5,1082.5,1079.2,1074.9,1075.0,1075.7,1117.0,1111.1,1108.0,1104.4,1106.3,1109.5,1096.3,1096.3,1096.2,1097.4,1094.0,1094.1,1091.1,1076.4,1070.0,1067.6,1067.1,1071.3,1082.2,1069.8,1063.1,1063.4,1065.4,1074.6,1087.9,1071.0,1068.7,1067.8,1079.4,1067.3,1067.8,1070.3
2,0,0,0.975,60.0,-234.5,1097.3,0.11,0.24,0.046,-0.9,-2.1,-1.2,1.1,6.0,14.9,26.6,40.3,57.9,76.9,96.1,113.7,127.4,135.5,139.1,142.4,145.4,5.9,12.7,22.5,33.4,43.4,74.0,87.0,99.4,111.0,119.6,58.1,56.4,54.7,52.9,41.0,48.1,54.9,62.6,69.9,17.2,24.4,32.9,40.8,32.6,24.2,79.6,88.1,97.3,105.7,97.4,88.4,30.2,36.9,46.0,53.3,61.8,74.3,86.9,74.7,62.4,53.2,45.2,36.5,34.4,46.2,53.7,62.1,81.8,62.6,53.9,46.2,-280.2,-260.6,-241.4,-222.1,-203.4,-186.4,-172.8,-161.9,-157.3,-158.5,-164.5,-172.7,-185.2,-201.8,-221.4,-241.9,-262.1,-291.5,-300.5,-303.1,-300.6,-295.2,-293.0,-296.7,-297.1,-293.9,-286.0,-271.6,-260.5,-249.8,-238.7,-230.5,-227.7,-225.1,-226.9,-228.7,-271.4,-274.1,-273.5,-268.9,-267.6,-268.2,-266.3,-269.9,-269.2,-265.8,-263.6,-263.8,-205.7,-212.8,-215.5,-213.2,-214.5,-210.4,-203.0,-192.7,-188.2,-187.7,-188.7,-193.8,-205.6,-208.2,-207.2,-207.4,-203.0,-197.4,-197.0,-198.1,1152.5,1149.5,1148.6,1146.8,1141.4,1129.5,1111.7,1092.8,1085.0,1088.0,1099.0,1109.5,1114.5,1115.7,1115.0,1117.7,1122.3,1120.3,1115.8,1107.8,1098.9,1091.0,1082.8,1085.5,1088.0,1089.8,1090.8,1083.7,1076.7,1069.5,1062.3,1078.5,1074.6,1070.0,1069.7,1070.1,1109.8,1104.2,1101.4,1097.7,1100.0,1103.0,1088.7,1088.5,1088.0,1088.9,1086.2,1086.6,1090.8,1075.5,1067.8,1064.7,1064.0,1068.6,1079.5,1069.2,1062.9,1063.7,1066.3,1075.7,1088.1,1069.0,1066.1,1064.8,1077.6,1066.5,1067.5,1070.7
3,0,0,0.975,58.3,-232.3,1105.8,0.131,0.27,0.058,-0.7,-2.0,-1.3,0.8,5.0,12.8,23.3,36.2,53.5,73.0,93.3,112.1,126.8,135.4,139.3,142.9,146.3,5.2,12.2,22.2,32.9,42.8,71.8,85.0,97.6,109.6,118.8,56.4,54.5,52.6,50.6,39.2,46.1,52.7,60.4,67.8,16.5,23.6,32.3,40.0,31.8,23.4,78.6,86.8,96.1,104.5,96.2,87.1,28.4,34.8,43.6,50.8,59.4,71.7,83.9,71.8,59.7,50.4,42.5,34.3,32.6,43.6,51.1,59.6,78.8,59.8,51.0,43.5,-278.7,-259.5,-240.8,-222.1,-203.9,-186.8,-172.7,-160.9,-155.7,-156.0,-161.6,-169.9,-182.6,-199.7,-219.6,-240.4,-261.1,-290.2,-298.4,-300.0,-297.0,-291.5,-289.0,-292.8,-293.3,-290.2,-282.3,-269.0,-257.7,-246.7,-235.4,-227.7,-224.6,-222.0,-223.6,-225.1,-270.2,-272.7,-272.0,-266.9,-265.7,-266.6,-263.9,-267.5,-266.8,-263.2,-260.8,-261.2,-202.5,-209.6,-212.3,-209.8,-211.0,-206.6,-199.0,-190.0,-186.0,-185.8,-187.0,-191.7,-202.3,-204.6,-203.4,-203.4,-199.2,-195.9,-195.7,-197.0,1159.3,1156.5,1156.1,1155.2,1151.0,1139.9,1122.7,1103.2,1094.1,1096.2,1106.6,1116.7,1121.7,1122.8,1121.7,1123.2,1126.6,1129.2,1123.4,1114.8,1105.7,1097.6,1088.6,1090.1,1091.7,1092.8,1093.3,1090.8,1084.6,1078.1,1071.6,1087.7,1083.6,1079.2,1078.6,1078.6,1119.1,1112.9,1109.6,1105.9,1108.5,1112.0,1094.9,1093.8,1092.8,1093.4,1091.3,1092.3,1099.6,1084.4,1076.9,1073.3,1071.9,1075.8,1085.2,1076.1,1070.8,1072.4,1075.6,1085.0,1096.3,1078.3,1074.8,1073.0,1083.6,1073.8,1075.6,1079.3
4,0,0,0.975,56.3,-232.3,1109.2,0.143,0.303,0.058,-1.3,-2.7,-1.9,0.1,4.5,12.5,23.0,35.5,52.7,72.1,92.5,111.2,125.6,134.0,137.7,141.3,144.7,3.7,10.8,20.7,31.0,40.7,69.6,82.8,95.4,107.4,116.7,54.3,52.3,50.1,48.0,37.1,43.8,50.1,57.7,64.7,14.9,21.9,30.5,37.9,29.8,21.5,76.3,84.7,93.9,102.3,94.0,84.9,26.6,32.9,41.2,47.9,55.9,68.0,80.8,67.8,55.7,47.0,39.7,32.1,30.6,41.2,48.1,56.0,75.5,56.2,48.0,40.9,-279.9,-260.5,-241.5,-222.5,-204.0,-186.7,-172.7,-161.1,-156.1,-156.8,-162.4,-170.5,-182.9,-199.7,-219.3,-239.8,-260.4,-290.2,-298.4,-299.8,-296.6,-290.8,-288.1,-291.7,-292.2,-289.2,-281.3,-268.4,-256.9,-245.7,-234.2,-227.1,-224.0,-221.3,-222.8,-224.3,-270.2,-272.6,-271.7,-266.6,-265.4,-266.3,-263.0,-266.7,-265.9,-262.2,-259.8,-260.2,-203.4,-209.5,-211.7,-209.3,-210.3,-206.2,-199.2,-190.7,-187.3,-187.2,-188.4,-193.0,-203.1,-204.5,-203.3,-203.2,-199.4,-196.6,-196.6,-197.8,1166.3,1163.6,1162.8,1161.1,1156.3,1144.6,1126.4,1106.2,1097.2,1098.9,1108.9,1118.1,1122.4,1122.9,1121.7,1122.9,1125.9,1132.9,1126.9,1118.0,1108.4,1099.5,1089.1,1090.4,1091.7,1092.7,1093.3,1092.5,1086.4,1080.0,1073.8,1090.3,1086.2,1081.5,1080.7,1080.3,1122.5,1116.2,1112.5,1108.4,1111.3,1115.1,1096.2,1094.9,1093.7,1094.0,1092.1,1093.3,1103.5,1088.3,1080.4,1076.9,1075.3,1078.7,1087.7,1078.5,1073.7,1075.4,1078.6,1088.3,1100.1,1081.6,1078.2,1076.2,1086.0,1076.9,1078.7,1082.4
5,0,0,0.975,53.6,-234.6,1107.6,0.108,0.307,0.068,-3.0,-4.6,-3.8,-1.9,2.2,9.7,19.9,32.4,49.7,69.2,90.0,109.1,123.9,132.2,135.9,139.4,142.8,1.7,8.8,18.4,28.5,38.0,67.1,80.2,92.8,104.7,114.3,51.5,49.5,47.3,45.0,34.4,41.1,47.4,54.9,62.0,12.7,19.5,28.1,35.7,27.5,19.2,73.9,82.3,91.6,100.1,91.7,82.5,24.0,30.1,38.2,44.9,52.7,64.4,77.2,64.2,52.4,43.9,36.7,29.5,28.1,38.2,45.1,52.9,71.8,52.8,44.8,37.9,-281.1,-262.4,-243.9,-225.2,-206.8,-189.6,-175.6,-164.1,-159.1,-159.3,-164.3,-171.7,-183.6,-200.1,-219.8,-240.4,-260.8,-292.8,-300.7,-302.1,-298.9,-293.3,-290.7,-294.2,-294.8,-292.0,-284.1,-270.9,-259.4,-248.2,-236.7,-229.1,-226.2,-223.6,-225.1,-226.5,-272.3,-274.8,-273.9,-268.9,-267.5,-268.3,-265.5,-269.0,-268.2,-264.6,-262.1,-262.5,-205.1,-211.6,-214.3,-211.9,-213.0,-208.5,-201.2,-194.4,-191.7,-191.6,-192.7,-196.3,-204.9,-206.2,-205.1,-205.1,-201.5,-201.7,-201.7,-202.8,1167.0,1164.0,1163.2,1161.4,1156.5,1144.1,1124.9,1103.8,1094.5,1096.4,1106.9,1116.9,1122.1,1123.0,1121.9,1122.8,1125.6,1134.5,1128.6,1119.7,1110.2,1101.3,1089.9,1091.1,1092.4,1093.2,1093.2,1093.5,1087.1,1080.4,1073.8,1090.1,1086.1,1081.4,1080.6,1080.2,1124.2,1117.7,1113.8,1109.4,1112.4,1116.5,1096.8,1095.3,1094.1,1094.3,1092.4,1093.7,1100.6,1085.4,1078.2,1074.7,1073.0,1075.9,1084.5,1074.8,1070.0,1071.8,1075.1,1084.6,1096.8,1079.6,1076.2,1074.0,1082.5,1073.5,1075.4,1079.1
6,0,0,0.975,50.8,-236.9,1104.3,0.101,0.322,0.063,-5.0,-6.8,-6.1,-3.9,0.4,8.2,18.5,31.0,48.0,67.1,87.5,106.4,121.3,130.0,133.8,137.5,140.8,-1.0,6.1,15.5,25.4,34.6,63.1,76.3,89.0,101.0,110.8,47.9,45.9,43.7,41.4,31.3,38.1,44.2,51.5,58.6,9.8,16.6,25.1,32.7,24.5,16.2,70.3,78.8,88.2,96.9,88.3,79.1,21.6,27.2,35.1,41.8,49.6,61.6,74.7,61.6,49.6,41.1,33.9,26.9,25.6,35.2,42.1,49.8,69.2,49.9,42.0,35.1,-282.4,-263.8,-245.4,-226.7,-208.5,-191.5,-177.8,-166.6,-161.8,-162.0,-166.4,-173.2,-184.7,-201.1,-221.0,-241.9,-262.7,-294.9,-303.0,-304.3,-301.2,-295.7,-293.2,-296.9,-297.4,-294.4,-286.4,-272.9,-261.9,-251.1,-240.0,-231.7,-228.9,-226.5,-228.0,-229.3,-273.9,-276.5,-275.7,-270.5,-269.1,-269.9,-267.2,-271.1,-270.3,-266.6,-264.0,-264.3,-207.4,-214.2,-217.0,-214.7,-215.8,-211.3,-203.8,-196.6,-193.8,-193.6,-194.7,-198.4,-207.3,-209.3,-208.2,-208.3,-204.2,-203.2,-203.2,-204.3,1165.4,1161.8,1160.3,1158.0,1152.7,1140.0,1120.5,1099.4,1090.0,1091.6,1101.7,1111.2,1116.0,1117.3,1116.7,1118.2,1121.5,1131.9,1126.0,1116.9,1107.1,1098.0,1085.5,1086.8,1088.1,1088.9,1088.9,1089.7,1083.3,1076.4,1069.7,1086.1,1082.1,1077.3,1076.2,1075.7,1121.7,1115.1,1111.0,1106.4,1109.5,1113.8,1092.4,1091.2,1089.8,1089.9,1088.0,1089.3,1097.3,1081.7,1074.4,1070.7,1068.9,1071.7,1080.2,1070.7,1065.9,1067.9,1071.3,1081.2,1093.5,1075.5,1071.9,1069.6,1078.5,1069.6,1071.7,1075.6
7,0,0,0.975,47.0,-236.4,1092.7,0.1,0.347,0.039,-8.5,-9.9,-8.9,-6.2,-1.2,7.0,17.4,29.8,46.8,65.8,86.0,104.4,118.4,126.3,129.6,133.1,136.3,-5.3,1.9,11.0,20.9,30.0,57.1,70.6,83.7,96.0,105.7,42.9,41.1,39.0,36.9,27.2,34.0,40.1,47.3,54.3,5.5,12.1,20.5,28.0,20.0,11.8,65.3,73.4,82.8,91.6,82.9,73.8,18.2,22.8,30.7,37.4,45.2,58.1,72.0,58.8,46.3,37.7,30.4,23.3,22.2,31.2,38.0,45.7,66.6,46.4,38.4,31.4,-280.7,-261.7,-243.0,-224.0,-205.8,-189.1,-175.9,-165.2,-160.9,-161.9,-167.0,-174.2,-185.8,-201.9,-221.3,-241.6,-261.8,-293.2,-301.4,-303.2,-300.5,-295.0,-293.1,-297.0,-297.5,-294.2,-286.0,-272.2,-261.9,-251.9,-241.5,-231.7,-229.3,-227.1,-228.5,-229.9,-272.0,-274.9,-274.3,-269.2,-267.7,-268.4,-266.6,-270.6,-270.0,-266.3,-263.8,-264.0,-205.9,-213.8,-217.2,-215.0,-216.2,-211.5,-203.3,-194.7,-191.1,-190.7,-191.7,-195.9,-206.0,-209.3,-208.4,-208.6,-203.7,-200.6,-200.5,-201.4,1155.8,1152.0,1150.0,1147.0,1140.4,1126.8,1107.1,1086.1,1076.4,1077.1,1086.2,1094.4,1098.1,1099.1,1098.8,1101.6,1105.9,1119.2,1113.6,1104.6,1094.6,1085.7,1073.0,1074.4,1075.7,1076.5,1076.5,1076.6,1070.4,1063.8,1057.2,1073.4,1069.4,1064.5,1063.1,1062.3,1109.3,1102.7,1098.6,1093.9,1097.1,1101.3,1079.3,1078.0,1076.5,1076.5,1074.6,1076.0,1085.7,1069.3,1061.3,1057.4,1055.5,1058.2,1067.2,1058.1,1053.5,1055.7,1059.2,1069.7,1082.1,1062.3,1058.6,1056.1,1066.0,1057.0,1059.2,1063.2
8,0,0,0.925,41.3,-239.0,1097.0,0.099,0.379,0.03,-11.8,-13.2,-12.2,-9.5,-5.0,2.2,11.6,23.2,40.1,59.7,80.8,100.2,114.8,122.7,125.8,129.0,132.1,-10.0,-3.5,4.9,14.3,23.1,50.1,63.6,76.6,88.6,98.2,36.1,34.3,32.2,30.0,21.4,28.0,34.0,40.9,47.6,0.6,6.6,14.7,22.2,14.5,6.7,59.2,66.9,76.0,84.8,76.2,67.3,13.5,17.4,24.9,31.3,38.7,51.7,66.0,52.9,40.3,32.2,25.2,18.3,17.4,25.6,32.1,39.3,60.7,40.2,32.5,25.9,-280.1,-262.3,-244.8,-226.9,-209.5,-193.0,-179.7,-168.0,-163.0,-163.8,-169.0,-176.5,-188.4,-204.7,-224.0,-244.1,-263.9,-295.4,-303.4,-305.3,-302.9,-297.7,-296.0,-300.0,-300.4,-297.1,-289.4,-274.4,-264.2,-254.5,-244.3,-234.0,-231.6,-229.6,-231.1,-232.5,-273.6,-276.5,-276.1,-271.4,-269.8,-270.3,-269.3,-273.1,-272.5,-269.0,-266.6,-266.7,-207.7,-215.9,-219.4,-217.4,-218.6,-214.1,-206.0,-196.8,-192.9,-192.4,-193.3,-197.5,-207.9,-211.3,-210.6,-210.8,-206.3,-202.4,-202.2,-203.1,1158.7,1154.9,1152.9,1150.5,1144.8,1131.8,1112.5,1090.7,1079.5,1078.7,1086.8,1094.5,1098.2,1099.2,1099.1,1102.0,1106.2,1125.0,1119.2,1109.8,1099.4,1090.1,1076.4,1077.2,1077.8,1077.7,1076.8,1080.3,1074.2,1067.6,1061.0,1077.2,1073.1,1068.1,1066.3,1065.1,1114.6,1107.6,1103.2,1098.4,1101.9,1106.4,1081.9,1080.2,1078.2,1077.9,1076.4,1078.3,1089.1,1072.9,1064.5,1060.4,1058.1,1060.2,1068.6,1060.2,1056.2,1058.9,1062.6,1073.3,1085.4,1065.7,1061.7,1058.8,1067.7,1059.5,1062.2,1066.4
9,0,0,0.925,33.1,-238.4,1088.3,0.111,0.449,0.014,-15.2,-16.7,-15.8,-13.1,-8.5,-1.6,6.9,16.9,33.4,53.0,75.0,94.7,109.2,116.8,119.5,122.7,125.8,-16.8,-10.7,-3.0,5.5,13.6,39.2,52.7,65.9,78.2,88.1,26.5,24.4,22.1,19.7,12.5,18.9,24.4,31.1,37.6,-6.5,-1.0,6.8,14.0,6.5,-1.0,49.6,57.2,66.1,75.0,66.3,57.6,5.8,8.7,15.4,21.4,28.6,42.0,57.7,43.2,30.1,22.2,15.7,9.6,9.3,16.3,22.4,29.5,52.3,30.1,22.8,16.6,-278.6,-260.8,-243.4,-225.6,-208.5,-192.4,-179.7,-168.4,-163.6,-164.6,-169.8,-176.9,-188.5,-204.4,-223.1,-242.6,-262.0,-293.5,-301.2,-303.1,-300.7,-295.5,-294.0,-298.0,-298.4,-295.2,-287.6,-272.5,-262.2,-252.4,-242.1,-232.2,-229.8,-227.9,-229.3,-230.7,-271.7,-274.6,-274.1,-269.4,-267.8,-268.3,-267.4,-271.3,-270.8,-267.3,-264.8,-264.9,-207.9,-215.1,-218.1,-216.2,-217.5,-213.3,-206.2,-197.2,-193.5,-193.0,-193.8,-197.9,-207.9,-210.4,-209.7,-210.0,-206.4,-202.7,-202.5,-203.3,1154.7,1150.4,1147.8,1144.7,1138.7,1125.0,1104.2,1080.9,1068.6,1066.4,1073.5,1079.6,1082.3,1083.0,1083.1,1086.3,1090.6,1118.4,1111.7,1101.6,1090.0,1079.3,1063.4,1063.5,1063.5,1062.8,1061.5,1069.0,1063.0,1056.6,1050.1,1067.3,1062.7,1057.2,1054.8,1053.0,1106.9,1099.2,1094.1,1088.7,1092.6,1097.8,1069.4,1067.0,1064.4,1063.3,1062.5,1065.1,1081.4,1064.4,1054.9,1050.3,1047.4,1048.6,1056.2,1048.1,1044.8,1048.1,1052.4,1064.3,1077.5,1056.0,1051.5,1048.1,1055.6,1048.2,1051.4,1056.2
